sample_id,buy_quantity,sell_time
0,0,80
1,0,64
2,0,0
3,0,0
4,0,3
5,0,103
6,0,0
7,0,0
8,0,1
9,0,1
10,0,79
11,0,0
12,0,12
13,0,0
14,0,0
15,0,87
16,0,83
17,0,0
18,0,88
19,0,114
20,0,79
21,0,0
22,0,28
23,1,115
24,0,92
25,1,119
26,0,116
27,0,0
28,0,0
29,0,1
30,0,0
31,0,78
32,0,90
33,0,0
34,0,83
35,0,112
36,0,0
37,0,0
38,0,82
39,0,79
40,0,0
41,0,0
42,0,74
43,0,100
44,0,0
45,0,84
46,0,0
47,0,14
48,0,0
49,0,95
50,0,112
51,0,0
52,0,109
53,0,98
54,0,1
55,0,0
56,0,0
57,0,0
58,0,84
59,0,0
60,1,119
61,0,0
62,0,104
63,0,0
64,0,0
65,0,1
66,0,1
67,0,1
68,1,119
69,0,0
70,0,12
71,0,100
72,0,117
73,0,0
74,0,0
75,0,105
76,0,117
77,0,80
78,0,0
79,1,119
80,0,84
81,0,114
82,0,79
83,0,0
84,0,0
85,0,0
86,0,1
87,0,0
88,0,1
89,0,89
90,0,1
91,0,69
92,0,1
93,0,0
94,0,0
95,0,1
96,0,90
97,1,119
98,0,98
99,0,0
100,1,119
101,0,0
102,1,112
103,0,105
104,0,0
105,0,97
106,0,0
107,0,79
108,0,1
109,0,102
110,0,88
111,0,0
112,0,83
113,0,1
114,0,48
115,0,94
116,0,2
117,0,0
118,0,38
119,0,95
120,1,119
121,0,0
122,0,0
123,0,102
124,0,118
125,0,111
126,0,72
127,0,3
128,0,1
129,0,2
130,0,1
131,0,0
132,0,110
133,0,0
134,0,31
135,0,0
136,0,0
137,0,0
138,0,6
139,0,0
140,0,86
141,0,118
142,0,80
143,0,0
144,1,119
145,0,0
146,0,0
147,0,0
148,0,93
149,0,104
150,1,118
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,90
158,0,96
159,0,1
160,0,0
161,0,78
162,0,2
163,0,89
164,0,0
165,0,1
166,0,0
167,0,0
168,0,93
169,0,11
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,1
176,0,80
177,0,0
178,0,0
179,0,0
180,0,0
181,0,77
182,0,108
183,0,0
184,0,73
185,0,0
186,0,105
187,0,0
188,0,60
189,0,116
190,0,2
191,0,95
192,0,118
193,0,1
194,0,1
195,0,0
196,0,0
197,0,94
198,0,1
199,0,113
200,0,0
201,0,90
202,0,0
203,0,82
204,0,1
205,0,0
206,0,1
207,0,0
208,0,91
209,0,91
210,0,1
211,0,100
212,0,0
213,0,1
214,0,0
215,0,1
216,0,1
217,0,113
218,0,0
219,0,0
220,0,0
221,0,0
222,0,100
223,0,95
224,0,93
225,0,73
226,0,0
227,0,78
228,0,88
229,0,0
230,0,110
231,0,1
232,0,96
233,0,0
234,0,2
235,0,0
236,0,1
237,0,88
238,0,45
239,0,116
240,0,115
241,0,81
242,0,0
243,0,0
244,0,107
245,0,118
246,0,0
247,0,0
248,0,0
249,0,1
250,0,103
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,105
257,0,0
258,1,115
259,0,0
260,0,114
261,0,91
262,0,102
263,0,1
264,0,84
265,0,0
266,0,118
267,0,111
268,0,102
269,0,0
270,0,3
271,0,63
272,0,0
273,0,0
274,0,73
275,0,0
276,0,83
277,0,119
278,0,0
279,0,1
280,0,117
281,0,97
282,0,1
283,0,75
284,0,0
285,0,118
286,0,0
287,0,43
288,0,0
289,1,119
290,0,0
291,0,0
292,0,94
293,0,111
294,0,17
295,0,2
296,0,0
297,0,80
298,0,0
299,0,115
300,0,107
301,0,117
302,0,54
303,0,21
304,0,0
305,0,0
306,0,105
307,1,112
308,0,1
309,0,2
310,0,2
311,0,88
312,0,107
313,0,83
314,0,0
315,0,0
316,0,112
317,0,1
318,0,0
319,0,2
320,0,2
321,0,95
322,0,1
323,0,94
324,0,81
325,0,94
326,0,64
327,0,95
328,0,0
329,0,10
330,0,1
331,0,0
332,0,104
333,0,0
334,0,93
335,0,73
336,0,107
337,0,0
338,0,1
339,0,119
340,0,101
341,0,2
342,0,92
343,0,0
344,0,0
345,0,114
346,0,108
347,0,100
348,0,2
349,0,18
350,0,105
351,0,91
352,0,0
353,0,101
354,0,92
355,0,0
356,0,63
357,0,1
358,0,0
359,0,87
360,0,110
361,0,0
362,0,1
363,0,112
364,0,0
365,0,0
366,0,88
367,0,0
368,0,19
369,0,119
370,0,104
371,0,109
372,0,107
373,0,0
374,0,2
375,0,84
376,0,9
377,0,70
378,0,98
379,0,48
380,0,87
381,0,109
382,0,0
383,0,105
384,0,21
385,0,80
386,0,119
387,0,78
388,0,1
389,0,0
390,0,62
391,0,98
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,118
398,0,100
399,0,0
400,0,0
401,0,115
402,0,57
403,0,0
404,0,0
405,0,0
406,0,2
407,0,116
408,1,119
409,0,92
410,0,0
411,1,119
412,0,113
413,0,98
414,0,0
415,0,111
416,0,94
417,1,119
418,0,2
419,0,30
420,0,0
421,0,1
422,0,0
423,0,2
424,0,72
425,0,0
426,0,0
427,0,98
428,0,118
429,0,0
430,0,98
431,0,85
432,0,90
433,0,95
434,0,82
435,0,0
436,0,2
437,0,0
438,0,1
439,0,64
440,0,0
441,0,0
442,0,1
443,0,98
444,0,101
445,0,0
446,0,119
447,0,14
448,0,0
449,0,42
450,0,5
451,0,119
452,0,0
453,0,3
454,0,104
455,0,1
456,0,0
457,0,119
458,0,0
459,0,3
460,0,89
461,0,19
462,0,0
463,0,111
464,0,2
465,0,110
466,0,119
467,0,72
468,0,97
469,0,0
470,0,119
471,0,0
472,0,117
473,0,0
474,0,116
475,0,0
476,0,0
477,0,2
478,0,1
479,0,94
480,0,1
481,0,0
482,0,14
483,0,0
484,0,88
485,0,2
486,0,1
487,0,99
488,0,0
489,0,0
490,0,0
491,0,87
492,0,0
493,0,0
494,0,119
495,0,102
496,0,13
497,0,111
498,0,1
499,0,2
500,0,4
501,0,0
502,0,0
503,0,1
504,0,85
505,0,24
506,0,81
507,0,85
508,0,0
509,0,0
510,0,0
511,0,81
512,0,0
513,0,1
514,0,98
515,0,91
516,0,0
517,0,107
518,0,62
519,0,86
520,0,1
521,0,96
522,0,1
523,0,108
524,0,0
525,0,10
526,0,88
527,0,1
528,0,104
