sample_id,buy_quantity,sell_time
0,0,48
1,0,5
2,0,22
3,0,63
4,0,109
5,0,91
6,0,86
7,0,1
8,0,81
9,0,47
10,0,34
11,0,20
12,0,19
13,0,81
14,0,81
15,0,18
16,0,25
17,0,54
18,0,48
19,0,13
20,0,50
21,0,47
22,0,32
23,0,30
24,0,37
25,0,1
26,0,17
27,0,92
28,0,9
29,0,71
30,0,71
31,0,32
32,0,19
33,0,105
34,0,48
35,0,86
36,0,117
37,0,57
38,0,14
39,0,57
40,0,87
41,0,67
42,0,0
43,0,26
44,0,93
45,0,0
46,0,81
47,0,82
48,0,105
49,0,85
50,0,3
51,0,25
52,0,90
53,0,0
54,0,46
55,0,21
56,0,4
57,0,92
58,0,23
59,0,54
60,0,113
61,0,0
62,0,14
63,0,86
64,0,24
65,0,3
66,0,110
67,0,18
68,0,0
69,0,113
70,0,59
71,0,113
72,0,21
73,0,115
74,0,39
75,0,14
76,0,21
77,0,84
78,0,100
79,0,109
80,0,34
81,0,33
82,0,86
83,0,56
84,0,45
85,0,103
86,0,112
87,0,104
88,0,104
89,0,32
90,0,115
91,0,0
92,0,108
93,0,104
94,0,32
95,0,100
96,0,53
97,0,77
98,0,12
99,0,45
100,0,0
101,0,63
102,0,0
103,0,18
104,0,72
105,0,27
106,0,86
107,0,84
108,0,109
109,0,23
110,0,103
111,0,57
112,0,81
113,0,116
114,0,24
115,0,41
116,0,94
117,0,24
118,0,31
119,0,86
120,0,0
121,0,53
122,0,89
123,0,17
124,0,32
125,0,14
126,0,52
127,0,8
128,0,109
129,0,114
130,0,27
131,0,111
132,0,19
133,0,44
134,0,72
135,0,117
136,0,1
137,0,49
138,0,106
139,0,102
140,0,39
141,0,18
142,0,33
143,0,46
144,0,0
145,0,76
146,0,102
147,0,16
148,0,112
149,0,106
150,0,28
151,0,116
152,0,80
153,0,49
154,0,72
155,0,115
156,0,40
157,0,73
158,0,108
159,0,113
160,0,115
161,0,63
162,0,69
163,0,45
164,0,15
165,0,72
166,0,84
167,0,54
168,0,41
169,0,31
170,0,1
171,0,109
172,0,115
173,0,43
174,0,79
175,0,103
176,0,0
177,0,53
178,0,51
179,0,117
180,0,50
181,0,85
182,0,21
183,0,6
184,0,0
185,0,3
186,0,34
187,0,81
188,0,25
189,0,106
190,0,3
191,0,7
192,0,42
193,0,98
194,0,69
195,0,46
196,0,61
197,0,34
198,0,46
199,0,45
200,0,17
201,0,11
202,0,34
203,0,9
204,0,109
205,0,102
206,0,43
207,0,57
208,0,0
209,0,84
210,0,108
211,0,46
212,0,81
213,0,105
214,0,85
215,0,71
216,0,4
217,0,19
218,0,86
219,0,42
220,0,89
221,0,18
222,0,35
223,0,104
224,0,30
225,0,0
226,0,104
227,0,16
228,0,15
229,0,69
230,0,52
231,0,44
232,0,32
233,0,103
234,0,88
235,0,14
236,0,29
237,0,20
238,0,54
239,0,16
240,0,23
241,0,85
242,0,69
243,0,104
244,0,17
245,0,112
246,0,33
247,0,113
248,0,109
249,0,38
250,0,109
251,0,30
252,0,5
253,0,103
254,0,0
255,0,35
256,0,28
257,0,113
258,0,0
259,0,109
260,0,14
261,0,108
262,0,106
263,0,30
264,0,113
265,0,45
266,0,17
267,0,33
268,0,27
269,0,109
270,0,38
271,0,37
272,0,44
273,0,45
274,0,32
275,0,102
276,0,26
277,0,85
278,0,71
279,0,64
280,0,41
281,0,14
282,0,71
283,0,88
284,0,98
285,0,1
286,0,108
287,0,60
288,0,62
289,0,0
290,0,52
291,0,93
292,0,59
293,0,29
294,0,48
295,0,60
296,0,107
297,0,39
298,0,60
299,0,111
300,0,40
301,0,87
302,0,10
303,0,101
304,0,73
305,0,92
306,0,0
307,0,41
308,0,108
309,0,109
310,0,94
311,0,102
312,0,41
313,0,21
314,0,72
315,0,103
316,0,102
317,0,108
318,0,71
319,0,110
320,0,99
321,0,11
322,0,109
323,0,44
324,0,102
325,0,39
326,0,8
327,0,112
328,0,93
329,0,64
330,0,109
331,0,103
332,0,75
333,0,111
334,0,78
335,0,99
336,0,31
337,0,107
338,0,116
339,0,106
340,0,102
341,0,40
342,0,67
343,0,19
344,0,115
345,0,112
346,0,111
347,0,67
348,0,105
349,0,41
350,0,0
351,0,39
352,0,76
353,0,19
354,0,74
355,0,86
356,0,30
357,0,110
358,0,95
359,0,87
360,0,38
361,0,53
362,0,91
363,0,16
364,0,85
365,0,60
366,0,41
367,0,52
368,0,109
369,0,41
370,0,40
371,0,110
372,0,111
373,0,52
374,0,112
375,0,15
376,0,39
377,0,14
378,0,105
379,0,106
380,0,64
381,0,110
382,0,104
383,0,36
384,0,1
385,0,6
386,0,75
387,0,8
388,0,11
389,0,16
390,0,85
391,0,30
392,0,85
393,0,71
394,0,84
395,0,12
396,0,108
397,0,106
398,0,30
399,0,93
400,0,113
401,0,106
402,0,77
403,0,0
404,0,42
405,0,74
406,0,105
407,0,29
408,0,15
409,0,38
410,0,110
411,0,0
412,0,41
413,0,6
414,0,0
415,0,110
416,0,29
417,0,0
418,0,85
419,0,5
420,0,19
421,0,111
422,0,44
423,0,110
424,0,39
425,0,19
426,0,107
427,0,44
428,0,105
429,0,60
430,0,106
431,0,104
432,0,41
433,0,9
434,0,84
435,0,55
436,0,76
437,0,88
438,0,30
439,0,22
440,0,80
441,0,34
442,0,62
443,0,63
444,0,41
445,0,102
446,0,0
447,0,30
448,0,83
449,0,6
450,0,18
451,0,106
452,0,56
453,0,78
454,0,39
455,0,102
456,0,28
457,0,27
458,0,38
459,0,11
460,0,81
461,0,25
462,0,82
463,0,111
464,0,28
465,0,5
466,0,109
467,0,18
468,0,10
469,0,16
470,0,5
471,0,103
472,0,99
473,0,23
474,0,40
475,0,76
476,0,68
477,0,85
478,0,108
479,0,19
480,0,116
481,0,106
482,0,83
483,0,98
484,0,38
485,0,41
486,0,4
487,0,14
488,0,10
489,0,108
490,0,50
491,0,48
492,0,111
493,0,9
494,0,106
495,0,6
496,0,51
497,0,36
498,0,108
499,0,112
500,0,94
501,0,55
502,0,19
503,0,112
504,0,0
505,0,38
506,0,38
507,0,112
508,0,104
509,0,9
510,0,40
511,0,94
512,0,115
513,0,19
514,0,100
515,0,57
516,0,39
517,0,65
518,0,58
519,0,73
520,0,3
521,0,72
522,0,1
523,0,68
524,0,82
525,0,10
526,0,4
527,0,104
528,0,112
