sample_id,buy_quantity,sell_time
0,0,2
1,0,118
2,0,119
3,0,1
4,0,0
5,0,119
6,0,0
7,0,1
8,0,1
9,0,1
10,0,119
11,0,0
12,0,119
13,0,0
14,0,5
15,0,114
16,0,119
17,0,0
18,0,118
19,0,119
20,0,119
21,0,0
22,0,119
23,1,119
24,0,119
25,1,119
26,0,119
27,0,0
28,0,0
29,0,0
30,0,0
31,0,119
32,0,119
33,0,0
34,0,0
35,0,119
36,0,0
37,0,0
38,0,119
39,0,119
40,0,0
41,0,0
42,0,0
43,0,118
44,0,119
45,0,118
46,0,0
47,0,116
48,0,0
49,0,119
50,0,119
51,0,0
52,0,119
53,0,119
54,0,0
55,0,0
56,0,1
57,0,0
58,0,119
59,0,0
60,0,119
61,0,0
62,0,119
63,0,0
64,0,0
65,0,119
66,0,0
67,0,0
68,0,119
69,0,0
70,0,114
71,0,119
72,0,119
73,0,1
74,0,0
75,0,119
76,0,119
77,0,119
78,0,0
79,0,119
80,0,1
81,0,119
82,0,119
83,0,0
84,0,0
85,0,119
86,0,0
87,0,0
88,0,0
89,0,118
90,0,1
91,0,119
92,0,0
93,0,0
94,0,7
95,0,0
96,0,118
97,1,119
98,0,119
99,0,0
100,0,0
101,0,0
102,1,119
103,0,119
104,0,1
105,0,119
106,0,0
107,0,119
108,0,0
109,0,119
110,0,0
111,0,0
112,0,119
113,0,1
114,0,119
115,0,119
116,0,0
117,0,0
118,0,119
119,0,117
120,1,119
121,0,0
122,0,0
123,0,119
124,0,119
125,0,119
126,0,118
127,0,4
128,0,0
129,0,0
130,0,0
131,0,111
132,0,0
133,0,7
134,0,1
135,0,0
136,0,1
137,0,0
138,0,0
139,0,0
140,0,119
141,0,119
142,0,0
143,0,0
144,0,4
145,0,0
146,0,0
147,0,0
148,0,5
149,0,119
150,0,1
151,0,119
152,0,0
153,0,1
154,0,0
155,0,3
156,0,0
157,0,119
158,0,119
159,0,0
160,0,1
161,0,112
162,0,0
163,0,111
164,0,0
165,0,0
166,0,0
167,0,0
168,0,114
169,0,114
170,0,0
171,0,0
172,0,1
173,0,1
174,0,0
175,0,1
176,0,117
177,0,0
178,0,0
179,0,0
180,0,0
181,0,119
182,0,117
183,0,0
184,0,119
185,0,0
186,0,118
187,0,0
188,0,119
189,0,119
190,0,1
191,0,119
192,0,119
193,0,0
194,0,0
195,0,0
196,0,0
197,0,119
198,0,0
199,0,0
200,0,0
201,0,119
202,0,0
203,0,119
204,0,1
205,0,0
206,0,3
207,0,0
208,0,119
209,0,116
210,0,1
211,0,119
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,1,119
218,0,0
219,0,0
220,0,0
221,0,0
222,0,119
223,0,119
224,0,119
225,0,118
226,0,0
227,0,119
228,0,119
229,0,0
230,0,118
231,0,1
232,0,117
233,0,0
234,0,0
235,0,0
236,0,0
237,0,119
238,0,3
239,0,119
240,0,119
241,0,119
242,0,0
243,0,0
244,0,119
245,0,119
246,0,0
247,0,3
248,0,0
249,0,1
250,0,3
251,0,0
252,0,1
253,0,0
254,0,0
255,0,0
256,0,119
257,0,2
258,1,119
259,0,119
260,0,119
261,0,119
262,0,119
263,0,0
264,0,119
265,0,1
266,0,119
267,0,119
268,0,119
269,0,0
270,0,0
271,0,119
272,0,0
273,0,0
274,0,119
275,0,0
276,0,119
277,0,119
278,0,0
279,0,1
280,0,119
281,0,119
282,0,0
283,0,118
284,0,0
285,0,0
286,0,0
287,0,109
288,0,119
289,0,2
290,0,0
291,0,0
292,0,117
293,0,117
294,0,119
295,0,0
296,0,0
297,0,119
298,0,0
299,0,119
300,0,119
301,0,119
302,0,118
303,0,0
304,0,0
305,0,0
306,0,119
307,1,119
308,0,0
309,0,2
310,0,0
311,0,119
312,0,119
313,0,119
314,0,0
315,0,0
316,0,106
317,0,0
318,0,1
319,0,0
320,0,0
321,0,118
322,0,0
323,0,119
324,0,119
325,0,119
326,0,111
327,0,117
328,0,0
329,0,118
330,0,0
331,0,119
332,0,119
333,0,0
334,0,119
335,0,0
336,0,119
337,0,0
338,0,1
339,0,119
340,0,119
341,0,0
342,0,119
343,0,0
344,0,119
345,0,119
346,0,5
347,0,110
348,0,0
349,0,115
350,0,117
351,0,119
352,0,0
353,0,119
354,0,119
355,0,0
356,0,0
357,0,0
358,0,0
359,0,119
360,0,119
361,0,0
362,0,0
363,0,119
364,0,0
365,0,0
366,0,119
367,0,0
368,0,1
369,0,119
370,0,119
371,0,119
372,0,3
373,0,0
374,0,0
375,0,119
376,0,119
377,0,119
378,0,119
379,0,104
380,0,119
381,0,119
382,0,0
383,0,119
384,0,0
385,0,119
386,0,119
387,0,118
388,0,1
389,0,1
390,0,119
391,0,119
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,119
399,0,0
400,0,0
401,0,119
402,0,119
403,0,0
404,0,0
405,0,0
406,0,0
407,0,119
408,0,119
409,0,112
410,0,0
411,0,0
412,0,119
413,0,119
414,0,1
415,0,116
416,0,119
417,0,2
418,0,0
419,0,119
420,0,0
421,0,2
422,0,119
423,0,0
424,0,118
425,0,0
426,0,0
427,0,119
428,0,0
429,0,0
430,0,6
431,0,119
432,0,118
433,0,2
434,0,119
435,0,0
436,0,2
437,0,0
438,0,1
439,0,119
440,0,0
441,0,0
442,0,1
443,0,119
444,0,119
445,0,0
446,1,119
447,0,119
448,0,0
449,0,119
450,0,2
451,0,119
452,0,0
453,0,2
454,0,119
455,0,0
456,0,0
457,0,119
458,0,0
459,0,2
460,0,119
461,0,0
462,0,3
463,0,119
464,0,4
465,0,119
466,0,119
467,0,5
468,0,119
469,0,1
470,0,119
471,0,0
472,0,119
473,0,0
474,0,119
475,0,0
476,0,1
477,0,2
478,0,0
479,0,1
480,0,2
481,0,0
482,0,118
483,0,0
484,0,0
485,0,1
486,0,0
487,0,119
488,0,0
489,0,2
490,0,0
491,0,118
492,0,2
493,0,0
494,0,119
495,0,119
496,0,119
497,0,119
498,0,1
499,0,0
500,0,0
501,0,0
502,0,1
503,0,2
504,0,119
505,0,119
506,0,117
507,0,119
508,0,0
509,0,2
510,0,119
511,0,1
512,0,2
513,0,8
514,0,119
515,0,119
516,0,0
517,0,119
518,0,0
519,0,119
520,0,0
521,0,119
522,0,1
523,0,119
524,0,0
525,0,115
526,0,116
527,0,0
528,0,119
